Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
OLFML2A	Olfactomedin-like 2A		
RPL35, DBA19	Ribosomal protein L35	mutation identified in 1 DBA19 family	?Diamond-Blackfan anemia 19, 618312 (3)
GOLGA1	Golgi autoantigen, golgin subfamily A, 1		
PPP6C	Protein phosphatase 6, catalytic subunit	highly related sequence on Xq22.3	
HSPA5, GRP78	Heat-shock 70kD protein-5 (glucose-regulated protein, 78kD)		
GAPVD1, RAP6, GAPEX5, KIAA1521	GTPase-activating protein and VPS9 domains 1		
MAPKAP1, SIN1, MIP1, JC310	Mitogen-activated protein kinase-associated protein 1		
PBX3	Pre-B-cell leukemia transcription factor-3		
LMX1B, NPS1	LIM homeo box transcription factor 1, beta		Nail-patella syndrome, 161200 (3), Autosomal dominant
ZBTB34, KIAA1993	Zinc finger- and BTB domain-containing protein 34		
RALGPS1, RALGEF2, KIAA0351	Ral guanine nucleotide exchange factor with PH domain and SH3 domain-binding motif 1		
ANGPTL2, ARP2	Angiopoietin-like 2		
SLC2A8, GLUT8	Solute carrier family 2, (facilitated glucose transporter) member 8		
ZNF79	Zinc finger protein-79 (pT7)		
RPL12	Ribosomal protein L12		
LRSAM1, TAL, RIFLE, CMT2P	Leucine-rich repeat- and sterile alpha motif-containing 1		Charcot-Marie-Tooth disease, axonal, type 2P, 614436 (3), Autosomal recessive, Autosomal dominant
CLLS3	Leukemia, chronic lymphocytic, susceptibility to, 3	associated with SNP -6531 upstream of DAPK1 promoter	{Leukemia, chronic lymphocytic, susceptibility to, 3}, 612557 (2)
DYT23	Dystonia 23	linkage to D9S159 and D9S1818	Dystonia 23, 614860 (2), Autosomal dominant
KTCN6	Keratoconus 6	max lod at 159cM	Keratoconus 6, 614623 (2), Autosomal dominant
FAM129B, MINERVA	Family with sequence similarity 129, member B		
STXBP1, UNC18, EIEE4	Syntaxin-binding protein 1		Epileptic encephalopathy, early infantile, 4, 612164 (3), Autosomal dominant
TOR2A, TORP1	Torsin 2A		
SH2D3C, NSP3	SH2 domain-containing protein 3C		
MIR2861, MIRN2861, BMND15	Micro RNA 2861		[Bone mineral density QTL 15], 613418 (3), Autosomal recessive, Autosomal dominant
CDK9, CDC2L4	Cyclin-dependent kinase-9		
FPGS	Folylpolyglutamate synthetase		
ENG, END, HHT1, ORW	Endoglin		Telangiectasia, hereditary hemorrhagic, type 1, 187300 (3), Autosomal dominant
AK1	Adenylate kinase-1	proximal to Ph1 break, 9q34.1; AK1 to ORM = 17cM	Hemolytic anemia due to adenylate kinase deficiency, 612631 (3), Autosomal recessive
ST6GALNAC6, SIAT7F	ST6 alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6		
SIAT7D, SIAT3C	Sialyltransferase 7D		
PIP5KL1, PIPKH	Phosphatidylinositol-4-phosphate-5-kinase-like 1		
DPM2, CDG1U	Dolichyl-phosphate mannosyltransferase 2, regulatory subunit		Congenital disorder of glycosylation, type Iu, 615042 (3), Autosomal recessive
FAM102A, EEIG1	Family with sequence similarity 102, member A		
C9orf90, NAIF1	Nuclear apoptosis-inducing factor 1		
PTGES2, PGES2, GBF1	Prostaglandin E synthase 2		
LCN2, NGAL	Lipocalin 2 (oncogene 24p3)		
CIZ1, ZNF356, LSFR1, NP94	CDKN1A-interacting zinc finger protein 1		
DNM1, EIEE31	Dynamin-1		Epileptic encephalopathy, early infantile, 31, 616346 (3), Autosomal dominant
MIR199B	Micro RNA 199B		
GOLGA2, GM130	Golgi autoantigen, golgin subfamily A, 2		
SWI5, SAE3, C9orf119	SWi5 homologous recombination repair protein		
TRUB2	TRUB pseudouridine synthase, E. coli, homolog of, 2		
COQ4, COQ10D7	Coenzyme Q4, S. cerevisiae, homolog of		Coenzyme Q10 deficiency, primary, 7, 616276 (3), Autosomal recessive
SLC27A4, FATP4, IPS	Solute carrier family 27 (fatty acid transporter), member 4		Ichthyosis prematurity syndrome, 608649 (3)
URM1	Ubiquitin-related modifier 1, S. cerevisiae, homolog of		
CERCAM	Cerebral endothelial cell adhesion molecule		
ODF2, ODF84	Outer dense fiber of sperm tails 2		
GLE1, GLE1L, LCCS, LCCS1, CAAHD	Gle1, RNA export mediator, S. cerevisiae, homolog of		Congenital arthrogryposis with anterior horn cell disease, 611890 (3), Autosomal recessive; Lethal congenital contracture syndrome 1, 253310 (3), Autosomal recessive
SPTAN1, NEAS, EIEE5	Spectrin, alpha, nonerythrocytic-1 (alpha-fodrin)		Epileptic encephalopathy, early infantile, 5, 613477 (3), Autosomal dominant
WDR34, SRTD11	WD repeat-containing protein 34		Short-rib thoracic dysplasia 11 with or without polydactyly, 615633 (3), Autosomal recessive
SET, MRD58	SET gene	fused with CAIN in acute undifferentiated leukemia	Mental retardation, autosomal dominant 58, 618106 (3), Autosomal dominant
PKN3	Protein kinase N3		
ZER1, ZYG11BL, C9orf60	Zyg11-related cell cycle regulator		
TBC1D13	TBC1 domain family, member 13		
ENDOG	Endonuclease G		
SPOUT1, CENP32, C9orf114	SPOUT domain-containing methyltransferase 1		
CCBL1	Cysteine conjugate beta-lyase 1		
LRRC8A, KIAA1437, AGM5	Leucine-rich repeat-containing 8A	mutation identified in 1 AGM5 patient	?Agammaglobulinemia 5, 613506 (3), Autosomal dominant
DOLK, TMEM15, DK1, SEC59, KIAA1094, CDG1M	Dolichol kinase		Congenital disorder of glycosylation, type Im, 610768 (3), Autosomal recessive
NUP188, KIAA1069	Nucleoporin, 188kD		
DOLPP1, LSFR2	Dolichyl pyrophosphate phosphatase 1		
CRAT, CAT1, NBIA8	Carnitine acetyltransferase	mutation identified in 1 NBIA8 patient	?Neurodegeneration with brain iron accumulation 8, 617917 (3), Autosomal recessive
PPP2R4, PTPA	Protein phosphatase-2A, regulatory subunit B' (PR 53)	proximal to ABL	
NTMT1, METTL11A, NRMT, C9orf32	N-terminal X-Pro-Lys N-methyltransferase 1		
ASB6	Ankyrin repeat- and SOCS box-containing protein 6		
PRRX2, PRX2	Paired-related homeo box gene 2		
PTGES, PGES, PIG12, MGST1L1	Prostaglandin E synthase		
TOR1B, DQ1	Torsin 1B	centromeric to TOR1A; pseudogene on chr.2	
DYT1, TOR1A	Torsin A		{Dystonia-1, modifier of} (3); Dystonia-1, torsion, 128100 (3), Autosomal dominant
USP20, VDU2	Ubiquitin-specific protease 20		
FNBP1, FBP17	Formin-binding protein 17	fused with MLL in chronic myeloid leukemia	
FREQ, NCS1	Frequenin, Drosophila, homolog of		
ASS1, ASS	Argininosuccinate synthetase 1	14 pseudogenes on 11 chromosomes, including X and Y and ASSP2 on 6p23-q12	Citrullinemia, 215700 (3), Autosomal recessive
FUBP3, FBP3	FAR upstream element-binding protein 3		
PRDM12, HSAN8	PR domain-containing protein 12		Neuropathy, hereditary sensory and autonomic, type VIII, 616488 (3), Autosomal recessive
EXOSC2, RRP4, SHRF	Exosome component 2		Short stature, hearing loss, retinitis pigmentosa, and distinctive facies, 617763 (3), Autosomal recessive
ABL1, CHDSKM	Abelson murine leukemia viral (v-abl) oncogene homolog 1	fusion hybrid gene with BCR1 in CML	Congenital heart defects and skeletal malformations syndrome, 617602 (3), Autosomal dominant; Leukemia, Philadelphia chromosome-positive, resistant to imatinib, 608232 (3), Somatic mutation
QRFP, P518, 26RFA	Pyroglutamylated FR-amide peptide precursor protein		
FIBCD1	Fibrinogene C domain-containing protein 1		
LAMC3, OCCM	Laminin, gamma-3		Cortical malformations, occipital, 614115 (3), Autosomal recessive
ALPQTL1	Alkaline phosphatase, plasma level of, QTL 1	linkage with rs657152	{Alkaline phosphatase, plasma level of, QTL1}, 171720 (2), ?Autosomal dominant
NUP214, D9S46E, CAN, CAIN, IIAE9	Nucleoporin, 214kD	fused with DEK in AML; fused with ABL1 in T-ALL	{Encephalopathy, acute, infection-induced, susceptibility to, 9}, 618426 (3), Autosomal recessive; Leukemia, T-cell acute lymphoblastic, somatic, 613065 (3); Leukemia, acute myeloid, somatic, 601626 (3)
POMT1, MDDGA1, MDDGB1, MDDGC1, LGMDR11	Protein O-mannosyltransferase 1		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1, 613155 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1, 609308 (3), Autosomal recessive
UCK1	Uridine/cytidine kinase 1		
RAPGEF1, GRF2, C3G	RAP guanine nucleotide exchange factor 1		
MED27, CRSP8, CRAP34	Mediator complex subunit 27		
SETX, SCAN2, AOA2, ALS4	Senataxin		Amyotrophic lateral sclerosis 4, juvenile, 602433 (3), Autosomal dominant; Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2, 606002 (3), Autosomal recessive
TTF1	Transcription termination factor, RNA polymerase I		
BARHL1	BARH-like 1		
DDX31, PPP1R25	DEAD box polypeptide 31		
AK8	Adenylate kinase 8		
SPACA9	Sperm acrosome associated 9		
TSC1, LAM	Hamartin (tuberous sclerosis 1 gene)	linked to ABO, ABL	Focal cortical dysplasia, type II, somatic, 607341 (3); Lymphangioleiomyomatosis, 606690 (3); Tuberous sclerosis-1, 191100 (3), Autosomal dominant
GFI1B, BDPLT17	Growth factor-independent 1B		Bleeding disorder, platelet-type, 17, 187900 (3), Autosomal recessive, Autosomal dominant
GTF3C5, TFIIIC63	General transcription factor 3C, polypeptide 5		
CEL, BSSL, CELL, MODY8	Carboxyl-ester lipase (bile-salt stimulated lipase)		Maturity-onset diabetes of the young, type VIII, 609812 (3), Autosomal dominant
RALGDS	ral guanine nucleotide dissociation stimulator		
GBGT1, FS	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (Forssman synthetase)		
OBP2B	Odorant-binding protein 2B		
ABO	ABO glycosyltransferase	linked to AK1	[Blood group, ABO system], 616093 (3)
SURF6	Surfeit-6		
SURF5	Surfeit-5		
RPL7A, SURF3	Ribosomal protein L7a (surfeit-3)	in cluster with SURF1	
SURF1, CMT4K	Surfeit-1	distal to ABL, CAN	Charcot-Marie-Tooth disease, type 4K, 616684 (3), Autosomal recessive; Leigh syndrome, due to COX IV deficiency, 256000 (3), Autosomal recessive, Mitochondrial
SURF2	Surfeit-2		
SURF4	Surfeit-4		
STKLD1, C9orf96	Serine/threonine kinase-like domain containing protein 1		
REXO4, XPMC2H	RNA exonuclease 4, S. cerevisiae, homolog of		
ADAMTS13, VWFCP, TTP	ADAM metallopeptidase domain with thrombospondin type 1 motif, 13		Thrombotic thrombocytopenic purpura, familial, 274150 (3), Autosomal recessive
CACFD1, FLOWER, C9orf7	Calcium channel FLOWER-domain containing protein 1		
SLC2A6	Solute carrier family 2, member 6		
MYMK, TMEM8C	Myomaker		Carey-Fineman-Ziter syndrome, 254940 (3), Autosomal recessive
ADAMTSL2, KIAA0605, GPHYSD1	ADAMTS-like protein 2		Geleophysic dysplasia 1, 231050 (3), Autosomal recessive
DBH, ORTHYP1	Dopamine-beta-hydroxylase	tightly linked to ABO	Orthostatic hypotension 1, due to DBH deficiency, 223360 (3), Autosomal recessive
SARDH, SARD, SAR	Sarcosine dehydrogenase		[Sarcosinemia], 268900 (3), Autosomal recessive
VAV2	Oncogene VAV2		
RING3L, ORFX	RING3-like gene (open reading frame X)		
RNU6ATAC, U6ATAC	RNA, U6ATAC small nuclear		
RXRA	Retinoid X receptor, alpha	distal to DBH	
COL5A1, EDSCL1	Collagen V, alpha-1 polypeptide		Ehlers-Danlos syndrome, classic type, 1, 130000 (3), Autosomal dominant
FCN2	Ficolin (collagen/fibrinogen domain-containing lectin) 2		
FCN1	Ficolin (collagen/fibrinogen domain-containing) 1		
OLFM1, AMY	Olfactomedin 1		
PPP1R26, KIAA0649	Protein phosphatase 1, regulatory subunit 26		
C9orf116, PIERCE1	p53-induced expression in RB-null cells 1		
MRPS2, COXPD36	Mitochondrial ribosomal protein S2		Combined oxidative phosphorylation deficiency 36, 617950 (3), Autosomal recessive
LCN1	Lipocalin 1 (protein migrating faster than albumin, tear prealbumin)		
OBP2A	Odorant-binding protein 2A		
PAEP, PP14	Progestagen-associated endometrial protein (placental protein 14)		
GLT6D1, GT6M7, GLTDC1	Glycosyltransferase 6 domain-containing 1		
LCN9	Lipocalin 9		
SOHLH1, NOHLH, TEB2, ODG5, SPGF32	Spermatogenesis- and oogenesis-specific basic helix-loop-helix protein 1		Ovarian dysgenesis 5, 617690 (3), Autosomal recessive; Spermatogenic failure 32, 618115 (3), Autosomal dominant
KCNT1, KIAA1422, EIEE14, ENFL5	Potassium channel, subfamily T, member 1		Epilepsy, nocturnal frontal lobe, 5, 615005 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 14, 614959 (3), Autosomal dominant
CAMSAP1	Calmodulin-regulated spectrin-associated protein 1		
UBAC1, GBDR1	Ubiquitin-associated domain-containing protein 1		
NACC2, RBB	NACC family, member 2, BEN and BTB/POZ domains-containing		
LHX3, CPHD3	LIM/homeodomain protein LHX3	in mouse, close to Notch1; centromeric to ABL	Pituitary hormone deficiency, combined, 3, 221750 (3), Autosomal recessive
QSOX2, SOXN	Quiescin Q6 sulfhydryl oxidase 2		
CARD9, CANDF2	Caspase recruitment domain-containing protein 9		Candidiasis, familial, 2, autosomal recessive, 212050 (3), Autosomal recessive
SNAPC4, SNAP190	Small nuclear RNA-activating protein complex, polypeptide 4		
PMPCA, KIAA0123, SCAR2	Peptidase, mitochondrial processing, alpha		Spinocerebellar ataxia, autosomal recessive 2, 213200 (3), Autosomal recessive
INPP5E, MORMS, JBTS1, CORS1	Inositol polyphosphate-5-phosphatase, 72kD		Joubert syndrome 1, 213300 (3), Autosomal recessive; Mental retardation, truncal obesity, retinal dystrophy, and micropenis, 610156 (3), Autosomal recessive
SEC16A, SEC16L, KIAA0310, p250	Sec16, S. Cerevisiae, homolog of, A		
NOTCH1, TAN1, AOS5, AOVD1	Notch receptor 1		Adams-Oliver syndrome 5, 616028 (3), Autosomal dominant; Aortic valve disease 1, 109730 (3), Autosomal dominant
EGFL7	Epidermal growth factor-like 7		
MIR126, MIRN126	Micro RNA 126		
AGPAT2, LPAAB, BSCL, BSCL1	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase-beta)		Lipodystrophy, congenital generalized, type 1, 608594 (3), Autosomal recessive
FAM69B	Family with sequence similarity 69, member B		
LCN10	Lipocalin 10		
LCN6	Lipocalin 6		
LCN8	Lipocalin 8		
CCDC183, KIAA1984	Coiled-coil domain-containing protein 183		
RABL6, PARF, C9orf86	RAB-like protein 6		
PHPT1	Phosphohistidine phosphatase 1		
MAMDC4	MAM domain-containing protein 4		
TRAF2, TRAP	TNF receptor-associated factor 2		
FBXW5, FBW5	F-box and WD40 domain protein 5		
C8G	Complement component-8, gamma polypeptide		
LCN12	Lipocalin 12		
PTGDS	Prostaglandin D2 synthase (21kD, brain)	distal to ABL	
PAXX, C9orf142	Paralog of XRCC4 and XLF		
CLIC3	Chloride intracellular channel 3		
ABCA2, ABC2	ATP-binding cassette 2		
FUT7	Fucosyltransferase 7 (alpha (1,3) fucosyltransferase)		
NPDC1, CAB1	Neural proliferation, differentiation, and control protein 1		
ENTPD2, CD39L1	Ectonucleoside triphosphate diphosphohydrolase 2	same cosmid as ABC2	
SAPCD2, C9orf140, P42.3	Suppressor APC domain-containing protein 2		
MAN1B1, MRT15	Mannosidase, alpha, class 1B member 1		Mental retardation, autosomal recessive 15, 614202 (3), Autosomal recessive
DPP7, QPP	Dipeptidyl peptidase VII		
GRIN1, NMDAR1, NDHMSR, NDHMSD	Glutamate receptor, ionotropic, N-methyl D-aspartate 1		Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant, 614254 (3), Autosomal dominant; Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive, 617820 (3), Autosomal recessive
LRRC26, CAPC	Leucine-rich repeat-containing protein 26		
ANAPC2, APC2, KIAA1406	Anaphase-promoting complex, subunit 2		
SSNA1, NA14	Sjogren syndrome nuclear autoantigen 1		
TPRN, C9orf75, DFNB79	Taperin		Deafness, autosomal recessive 79, 613307 (3), Autosomal recessive
TMEM203	Transmembrane protein 203		
NR1	NADPH-dependent FMN- and FAD-containing oxidoreductase		
SLC34A3, NPTIIC, HHRH	Solute carrier family 34 (sodium/phosphate cotransporter), member 3		Hypophosphatemic rickets with hypercalciuria, 241530 (3), Autosomal recessive
TUBB4B, TUBB2C, LCAEOD	Tubulin, beta-4B		Leber congenital amaurosis with early-onset deafness, 617879 (3), Autosomal dominant
COBRA1, NELFB, KIAA1182	Cofactor of BRCA1		
NOXA1	NADPH oxidase activator 1		
ENTPD8	Ectonucleoside triphosphate diphosphohydrolase 8		
NSMF, NELF, HH9	NMDA receptor synaptonuclear signaling and neuronal migration factor		Hypogonadotropic hypogonadism 9 with or without anosmia, 614838 (3), Autosomal dominant
PNPLA7	Patatin-like phospholipase domain containing 7		
MRPL41, MRPL27	Mitochondrial ribosomal protein L41		
DPH7, WDR85	Diphthamide biosynthesis 7		
ZMYND19, MIZIP	Zinc finger MYND domain-containing protein 19		
EHMT1, EUHMTASE1, KMT1D, DEL9q34, KLEFS1	Euchromatic histone methyltransferase 1		Kleefstra syndrome 1, 610253 (3), Autosomal dominant
CACNA1B, CACNL1A5, NEDNEH	Calcium channel, voltage-dependent, L type, alpha 1B subunit		Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements, 618497 (3), Autosomal recessive
H142T	Temperature sensitivity complementation, H142		
BMIQ8	Body mass index quantitative trait locus 8		{Obesity, susceptibility to, BMIQ8}, 603188 (2)
BULN	Bulimia nervosa, susceptibility to	between D10S1430 and D10S1423	{Bulimia nervosa, susceptibility to}, 607499 (2), Multifactorial
PFFE1	Plasmodium falciparum fever episodes QTL1		{Plasmodium falciparum fever episodes QTL1}, 611384 (2)
ST12, PAC1	Suppression of tumorigenicity 12, prostate		Prostate adenocarcinoma, 601188 (2)
TUBB8, OOMD2	Tubulin, beta 8		Oocyte maturation defect 2, 616780 (3), Autosomal recessive, Autosomal dominant
ZMYND11, BS69, BRAM1, MRD30	Zinc finger MYND domain-containing protein 11		Mental retardation, autosomal dominant 30, 616083 (3), Autosomal dominant
DIP2C, KIAA0934	Disco-interacting protein 2 homolog C		
LARP4B, LARP5, KIAA0217	La ribonucleoprotein domain family, member 4B		
IDI2, IPPI2	Isopentenyl-diphosphate delta isomerase 2		
IDI2AS1	IDI2 antisense RNA 1, noncoding		
IDI1	Isopentenyl-diphosphate delta isomerase 1		
WDR37	WD repeat-containing protein 37		
ADARB2, RED2	Adenosine deaminase, RNA-specific, B2 (homolog of rat BLUE)		
PFKP	Phosphofructokinase, platelet type		
PITRM1, MP1, PREP	Pitrilysin metallopeptidase 1		
KLF6, COPEB, BCD1, ZF9	Kruppel-like factor-6		Gastric cancer, somatic, 613659 (3); Prostate cancer, somatic, 176807 (3)
MS2	Multiple sclerosis, susceptibility to, 2	associated with rs12722489 and rs2104286	{Multiple sclerosis, susceptibility to, 2}, 612594 (2)
AKR1E2, HTSP, TAKR	Aldo-keto reductase family 1, member E2		
AKR1C1, DDH1, DD1, HAKRC	Aldo-keto reductase family 1, member 1 (dihydrodiol dehydrogenase, type 1)		
AKR1C2, DDH2, DD2, HAKRD, SRXY8	Aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase, type II)		46XY sex reversal 8, 614279 (3), Autosomal recessive
AKR1C3, HAKRB, DD3	Aldo-keto reductase family 1, member C3		
AKR1C4, CHDR, CDR, HAKRA, DD4	Aldo-keto reductase family 1, member C4 (chlordecone reductase)		{46XY sex reversal 8, modifier of}, 614279 (3), Autosomal recessive
NET1	Neuroepithelial cell transforming gene 1		
CALML3	Calmodulin-like 3		
ASB13	Ankyrin repeat- and SOCS box-containing protein 13		
GDI2, RABGDIB	GDP dissociation inhibitor 2	pseudogene on chr.7	
ANKRD16	Ankyrin repeat domain-containing protein 16		
FBXO18, FBH1, FBX18	F-box only protein 18		
IL15RA	Interleukin-15 receptor, alpha		
IL2RA, CD25, IL2R, IDDM10, IMD41	Interleukin-2 receptor, alpha		{Diabetes, mellitus, insulin-dependent, susceptibility to, 10}, 601942 (3); Immunodeficiency 41 with lymphoproliferation and autoimmunity, 606367 (3), Autosomal recessive
RBM17, SPF45	RNA binding motif protein 17		
PFKFB3, IPFK2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3		
PRKCQ	Protein kinase C, theta		
ARVD6	Arrhythmogenic right ventricular dysplasia 6		Arrhythmogenic right ventricular dysplasia 6, 604401 (2)
CRCS5	Colorectal cancer, susceptibility to, 5	associated with rs10795668	{Colorectal cancer, susceptibility to, 5}, 612230 (2)
DGCR2, DGS2	DiGeorge syndrome chromosome region-2		DiGeorge syndrome/velocardiofacial syndrome complex-2, 601362 (2)
SFMBT2, KIAA1617	SCM-like protein with 4 MBT domains 2		
ITIH5	Inter-alpha-trypsin inhibitor, heavy chain 5		
ITIH2	Inter-alpha (globulin) inhibitor, H2 polypeptide		
KIN, KIN17, BTCD	Antigenic determinant of recombination protein A, mouse, homolog of		
ATP5C1, ATP5CL1, ATP5C	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide-1		
TAF3, TAFII140	TAF3 RNA polymerase II, TATA box-binding protein-associated factor, 140kD		
GATA3, HDR, HDRS	GATA-binding protein-3		Hypoparathyroidism, sensorineural deafness, and renal dysplasia, 146255 (3), Autosomal dominant
CELF2, CUGBP2, ETR3, BRUNOL3	CUGbp- and ELAV-like family, member 2		
USP6NL, RNTRE	USP6 N-terminal-like		
UPF2, RENT2	UPF2 regulator of nonsense-mediated mRNA decay		
DHTKD1, KIAA1630, AMOXAD, CMT2Q	Dehydrogenase E1 and transketolase domains-containing protein 1	mutation identified in 1 CMT2Q family	2-aminoadipic 2-oxoadipic aciduria, 204750 (3), Autosomal recessive; ?Charcot-Marie-Tooth disease, axonal, type 2Q, 615025 (3), Autosomal dominant
SEC61A2	Sec61 translocon, alpha-2 subunit		
CDC123	Cell division cycle 123		
AD7	Alzheimer disease 7	max LOD at D10S1423	Alzheimer disease-7, 606187 (2)
LPRS	Leprosy, paucibacillary type, susceptibility to		{Leprosy, paucibacillary type, susceptibility to}, 609888 (2)
CAMK1D, CKLIK	Calcium/calmodulin-dependent protein kinase I-delta		
OPTN, GLC1E, FIP2, HYPL, NRP, ALS12	Optineurin		Amyotrophic lateral sclerosis 12, 613435 (3); Glaucoma 1, open angle, E, 137760 (3), Autosomal dominant; {Glaucoma, normal tension, susceptibility to}, 606657 (3)
MCM10, CNA43	Minichromosome maintenance 10, S. cerevisiae, homolog of		
PHYH, PAHX	Phytanoyl-CoA hydroxylase		Refsum disease, 266500 (3), Autosomal recessive
SEPHS1, SPS1	Selenophosphate synthetase 1		
PRPF18, PRP18	Pre-mRNA processing factor 18		
FRMD4A, KIAA1294, CCAFCA	FERM domain-containing protein 4A	mutation identified in 1 CCAFCA family	?Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia, 616819 (3), Autosomal recessive
ARMETL1, CDNF	Arginine-rich protein mutated in early stage tumors-like 1		
HSPA14, HSP70L1	Heat-shock 70kD protein 14		
SUV39H2, FLJ23414	Suppressor of variegation 3-9, Drosophila, homolog of, 2		
DCLRE1C, ARTEMIS, SCIDA	DNA cross-link repair protein 1C		Omenn syndrome, 603554 (3), Autosomal recessive; Severe combined immunodeficiency, Athabascan type, 602450 (3), Autosomal recessive
MEIG1	Meiosis-expressed gene 1, mouse, homolog of		
RPP38	Ribonuclease P, 38-kD subunit		
NMT2	N-myristoyltransferase 2		
ITGA8, RHDA1	Integrin, alpha-8		Renal hypodysplasia/aplasia 1, 191830 (3), Autosomal recessive
MINDY3, C10orf97, CARP	MINDY lysine-48 deubiquitinase 3		
PTER	Phosphotriesterase-related protein		
C1QL3, CTRP13, K100	Complement component 1, q subcomponent-like 3		
RSU1	Ras suppressor protein 1		
CUBN, IFCR, MGA1	Cubilin (intrinsic factor-cobalamin receptor)		Megaloblastic anemia-1, Finnish type, 261100 (3), Autosomal recessive
TRDMT1, DMNT2	tRNA aspartic acid methyltransferase 1 (DNA methyltransferase 2)		
VIM, CTRCT30	Vimentin		Cataract 30, pulverulent, 116300 (3), Autosomal dominant
ST8SIA6, SIAT8F	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6		
HACD1, PTPLA	3-hydroxyacyl-CoA dehydratase 1		
STAM	Signal transducing adaptor molecule		
MRC1, MMR	Mannose receptor, C type 1		
CACNB2	Calcium channel, voltage-dependent, beta 2 subunit		Brugada syndrome 4, 611876 (3)
NSUN6	NOP2/SUN RNA methyltransferase family, member 6		
ARL5B, ARL8	ADP-ribosylation factor-like 5B		
MALRD1, C10orf112, DIET1	MAM and LDL receptor class A domain-containing protein 1		
PLXDC2, TEM7R	Plexin domain containing 2		
NEBL	Nebulette		
MIR1915	Micro RNA 1915		
AF10	ALL1 fused gene from chromosome 10	fuses with MLL and HEAB	Leukemia, acute myeloid, 601626 (3), Autosomal dominant, Somatic mutation
DNAJC1, HTJ1	DNAJ/HSP40 homolog, subfamily C, member 1		
EBLN1	Endogenous Borna-like N element-containing protein 1		
COMMD3	COMM domain-containing protein 3		
BMI1	Oncogene BMI-1		
SPAG6	Sperm-associated antigen 6		
PIP4K2A, PI5P4KA, PIP5K2A	Phosphatidylinositol 5-phosphate 4-kinase, type II, alpha		
ARMC3	Armadillo repeat-containing protein 3		
MSRB2, CBS1	Methionine sulfoxide reductase B2		
PTF1A, PACA, PAGEN2	Pancreas transcription factor 1, alpha subunit		Pancreatic agenesis 2, 615935 (3), Autosomal recessive; Pancreatic and cerebellar agenesis, 609069 (3), Autosomal recessive
OTUD1, DUBA7	OTU domain-containing protein 1		
KIAA1217, SKT	KIAA1217 gene		
ARHGAP21, KIAA1424	GTPase-activating protein, Rho, 21	pseudogene on chr.6	
PRTFDC1	Phosphoribosyl transferase domain-containing protein 1		
THNSL1, TSH1	Threonine synthase-like 1		
ENKUR, C10orf63	Enkurin, TRPC channel-interacting protein		
GPR158, KIAA1136	G protein-coupled receptor 158		
MYO3A, DFNB30	Myosin IIIA		Deafness, autosomal recessive 30, 607101 (3), Autosomal recessive
GAD2	Glutamate decarboxylase-2, pancreas		
PDSS1, TPT, COQ1, COQ10D2	Prenyl diphosphate synthase, subunit 1		Coenzyme Q10 deficiency, primary, 2, 614651 (3), Autosomal recessive
ABI1	ABL-interactor 1		
ANKRD26, KIAA1074, THC2	Ankyrin repeat domain-containing protein 26		Thrombocytopenia 2, 188000 (3), Autosomal dominant
YME1L1, YME1L, PAMP, OPA11	Mitochondrial escape 1-like 1	mutation identified in1 OPA11 family	?Optic atrophy 11, 617302 (3), Autosomal recessive
MASTL, FLJ14813, GWL	Microtubule-associated serine/threonine kinase-like		
ACBD5, KIAA1996	Acyl-CoA-binding domain-containing protein 5		
PTCHD3	Patched domain-containing protein 3		
RAB18, WARBM3	Ras-associated protein RAB18		Warburg micro syndrome 3, 614222 (3), Autosomal recessive
MKX, IFRX, IRXL1	Mohawk homeobox		
ARMC4, CILD23	Armadillo repeat-containing protein 4		Ciliary dyskinesia, primary, 23, 615451 (3), Autosomal recessive
MPP7	Membrane protein, palmitoylated 7		
WAC, KIAA1844, DESSH	WW domain-containing adaptor with coiled-coil region		Desanto-Shinawi syndrome, 616708 (3), Autosomal dominant
BAMBI, NMA	BMP and activin membrane-bound inhibitor, xenopus, homolog of		
DFNB33	Deafness, autosomal recessive 33	prev. assignment to chr. 9 an error	Deafness, autosomal recessive 33, 607239 (2), Autosomal recessive
SVIL	Supervillin		
KIAA1462, JCAD	KIAA1462 gene		
