Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
TMEM126A		Transmembrane protein 126A	Optic atrophy 7, 612989 (3), Autosomal recessive
OPA7		Transmembrane protein 126A	Optic atrophy 7, 612989 (3), Autosomal recessive
CREBZF		CREB/ATF bZIP transcription factor	
ZF		CREB/ATF bZIP transcription factor	
SYTL2		Synaptotagmin-like 2	
SLP2		Synaptotagmin-like 2	
SLP2A		Synaptotagmin-like 2	
EXO4		Synaptotagmin-like 2	
KIAA1597		Synaptotagmin-like 2	
PICALM	fuses with AF10 in t(10;11)	Phosphatidylinositol-binding clathrin assembly protein	Leukemia, acute myeloid, somatic, 601626 (3)
CALM	fuses with AF10 in t(10;11)	Phosphatidylinositol-binding clathrin assembly protein	Leukemia, acute myeloid, somatic, 601626 (3)
CLTH	fuses with AF10 in t(10;11)	Phosphatidylinositol-binding clathrin assembly protein	Leukemia, acute myeloid, somatic, 601626 (3)
LAP	fuses with AF10 in t(10;11)	Phosphatidylinositol-binding clathrin assembly protein	Leukemia, acute myeloid, somatic, 601626 (3)
EED		Embryonic ectoderm development protein	Cohen-Gibson syndrome, 617561 (3), Autosomal dominant
WAIT1		Embryonic ectoderm development protein	Cohen-Gibson syndrome, 617561 (3), Autosomal dominant
COGIS		Embryonic ectoderm development protein	Cohen-Gibson syndrome, 617561 (3), Autosomal dominant
HIKESHI		Hikeshi	Leukodystrophy, hypomyelinating, 13, 616881 (3), Autosomal recessive
C11orf73		Hikeshi	Leukodystrophy, hypomyelinating, 13, 616881 (3), Autosomal recessive
HLD13		Hikeshi	Leukodystrophy, hypomyelinating, 13, 616881 (3), Autosomal recessive
ME3		Malic enzyme 3	
PRSS23		Protease, serine, 23	
FZD4		Frizzled, Drosophila, homolog of, 4	Exudative vitreoretinopathy 1, 133780 (3), Autosomal dominant; Retinopathy of prematurity, 133780 (3), Autosomal dominant
EVR1		Frizzled, Drosophila, homolog of, 4	Exudative vitreoretinopathy 1, 133780 (3), Autosomal dominant; Retinopathy of prematurity, 133780 (3), Autosomal dominant
TMEM135		Transmembrane protein 135	
PMP52		Transmembrane protein 135	
RAB38		Ras-family, member RAB38	
CTSC		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
CPPI		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
PALS		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
PLS		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
HMS		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
PDON1		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
JPD		Cathepsin C	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
GRM5		Glutamate receptor, metabotropic, 5	
MGLUR5		Glutamate receptor, metabotropic, 5	
TYR		Tyrosinase	Albinism, oculocutaneous, type IA, 203100 (3), Autosomal recessive; Albinism, oculocutaneous, type IB, 606952 (3); {Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3), Autosomal dominant; Waardenburg syndrome/albinism, digenic, 103470 (3), Autosomal dominant
SHEP3		Tyrosinase	Albinism, oculocutaneous, type IA, 203100 (3), Autosomal recessive; Albinism, oculocutaneous, type IB, 606952 (3); {Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3), Autosomal dominant; Waardenburg syndrome/albinism, digenic, 103470 (3), Autosomal dominant
CMM8		Tyrosinase	Albinism, oculocutaneous, type IA, 203100 (3), Autosomal recessive; Albinism, oculocutaneous, type IB, 606952 (3); {Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3), Autosomal dominant; Waardenburg syndrome/albinism, digenic, 103470 (3), Autosomal dominant
OCA1A		Tyrosinase	Albinism, oculocutaneous, type IA, 203100 (3), Autosomal recessive; Albinism, oculocutaneous, type IB, 606952 (3); {Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3), Autosomal dominant; Waardenburg syndrome/albinism, digenic, 103470 (3), Autosomal dominant
ATN		Tyrosinase	Albinism, oculocutaneous, type IA, 203100 (3), Autosomal recessive; Albinism, oculocutaneous, type IB, 606952 (3); {Melanoma, cutaneous malignant, susceptibility to, 8}, 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, blue/green eyes], 601800 (3), Autosomal dominant; [Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3), Autosomal dominant; Waardenburg syndrome/albinism, digenic, 103470 (3), Autosomal dominant
NOX4		NADPH oxidase 4	
RENOX		NADPH oxidase 4	
FOLH1B		Folate hydrolase 1B	
PSMAL		Folate hydrolase 1B	
GCP3		Folate hydrolase 1B	
RNF18		RING finger protein-18	
UBTFL1		Upstream binding transcription factor (RNA polymerase I)-like 1	
HMGPI		Upstream binding transcription factor (RNA polymerase I)-like 1	
NAALAD2		N-acetylated alpha-linked acidic dipeptidase 2	
CHRODC1		Cysteine- and histidine-rich domain-containing protein 1	
CHP1		Cysteine- and histidine-rich domain-containing protein 1	
FAT3		FAT atypical cadherin 3	
MTNR1B		Melatonin receptor 1B	{Diabetes mellitus, type 2, susceptibility to}, 125853 (3), Autosomal dominant
FGQTL3	associated with rs10830963	Fasting plasma glucose level QTL 3	[Fasting plasma glucose level QTL 3], 613233 (2)
SLC36A4		Solute carrier family 36, member 4	
PAT4		Solute carrier family 36, member 4	
DEUP1		Deuterosome assembly protein 1	
CCDC67		Deuterosome assembly protein 1	
C11orf75		FN5, pufferfish, homolog of	
FN5		FN5, pufferfish, homolog of	
CEP295		Centrosomal protein, 295kD	
KIAA1731		Centrosomal protein, 295kD	
TAF1D		TATA box-binding protein-associated factor 1D	
RAFI41		TATA box-binding protein-associated factor 1D	
JOSD3		TATA box-binding protein-associated factor 1D	
C11orf54		Chromosome 11 open reading frame 54	
PTOD012		Chromosome 11 open reading frame 54	
MED17		Mediator complex subunit 17	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
CRSP6		Mediator complex subunit 17	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
CRSP77		Mediator complex subunit 17	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
TRAP80		Mediator complex subunit 17	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
DRIP80		Mediator complex subunit 17	Microcephaly, postnatal progressive, with seizures and brain atrophy, 613668 (3), Autosomal recessive
HEPHL1	mutation identified in 1 HJDD patient	Hephaestin-like protein 1	?Abnormal hair, joint laxity, and developmental delay, 261990 (3), Autosomal recessive
ZP	mutation identified in 1 HJDD patient	Hephaestin-like protein 1	?Abnormal hair, joint laxity, and developmental delay, 261990 (3), Autosomal recessive
HJDD	mutation identified in 1 HJDD patient	Hephaestin-like protein 1	?Abnormal hair, joint laxity, and developmental delay, 261990 (3), Autosomal recessive
PANX1		Pannexin 1	Oocyte maturation defect 7, 618550 (3), Autosomal dominant
PX1		Pannexin 1	Oocyte maturation defect 7, 618550 (3), Autosomal dominant
OOMD7		Pannexin 1	Oocyte maturation defect 7, 618550 (3), Autosomal dominant
FOLR4		Folate receptor 4	
GPR83		G protein-coupled receptor 83	
GIR		G protein-coupled receptor 83	
GPR72		G protein-coupled receptor 83	
MRE11A		Meiotic recombination 11, S. cerevisiae, homolog A of	Ataxia-telangiectasia-like disorder 1, 604391 (3), Autosomal recessive
MRE11		Meiotic recombination 11, S. cerevisiae, homolog A of	Ataxia-telangiectasia-like disorder 1, 604391 (3), Autosomal recessive
ATLD		Meiotic recombination 11, S. cerevisiae, homolog A of	Ataxia-telangiectasia-like disorder 1, 604391 (3), Autosomal recessive
FUT4		Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	
FCT3A		Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	
CD15		Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	
PIWIL4		PIWI-like 4	
HIWI2		PIWI-like 4	
MIWI2		PIWI-like 4	
AMOTL1		Angiomotin-like 1	
JEAP		Angiomotin-like 1	
KDM4D		Lysine demethylase 4D	
JMJD2D		Lysine demethylase 4D	
KDM4E		Lysine-specific demethylase 4E	
JMJD2E		Lysine-specific demethylase 4E	
SRSF8		Splicing factor, arginine/serine-rich, 8	
SFRS2B		Splicing factor, arginine/serine-rich, 8	
SRp46		Splicing factor, arginine/serine-rich, 8	
SEST3		Sestrin 3	
CEP57		Centrosomal protein 57kD	Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive
PIG8		Centrosomal protein 57kD	Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive
TSP57		Centrosomal protein 57kD	Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive
KIAA0092		Centrosomal protein 57kD	Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive
MVA2		Centrosomal protein 57kD	Mosaic variegated aneuploidy syndrome 2, 614114 (3), Autosomal recessive
MTMR2		Myotubularin-related protein 2	Charcot-Marie-Tooth disease, type 4B1, 601382 (3), Autosomal recessive
CMT4B1		Myotubularin-related protein 2	Charcot-Marie-Tooth disease, type 4B1, 601382 (3), Autosomal recessive
MAML2	t(11;19)	Mastermind-like 2	Mucoepidermoid salivary gland carcinoma (3)
MAM3	t(11;19)	Mastermind-like 2	Mucoepidermoid salivary gland carcinoma (3)
MIR1260B		Micro RNA 1260B	
JRKL		Jerky, mouse, homolog-like	
HHMJG		Jerky, mouse, homolog-like	
ANC	3p22 also deleted	Anal canal carcinoma	?Anal canal carcinoma, 105580 (2), Autosomal dominant
CNTN5		Contactin 5	
NB2		Contactin 5	
ARHGAP42		Rho GTPase-activating protein 42	
GRAF3		Rho GTPase-activating protein 42	
PGR	11q13 = earlier regionalization	Progesterone receptor	?Progesterone resistance, 264080 (2), Autosomal recessive
TRPC6		Transient receptor potential channel-6	Glomerulosclerosis, focal segmental, 2, 603965 (3), Autosomal dominant
TRP6		Transient receptor potential channel-6	Glomerulosclerosis, focal segmental, 2, 603965 (3), Autosomal dominant
FSGS2		Transient receptor potential channel-6	Glomerulosclerosis, focal segmental, 2, 603965 (3), Autosomal dominant
ANGPTL5		Angiopoietin-like 5	
KIAA1377		KIAA1377 gene	
CFAP300		Cilia- and flagella-associated protein 300	Ciliary dyskinesia, primary, 38, 618063 (3), Autosomal recessive
C11orf70		Cilia- and flagella-associated protein 300	Ciliary dyskinesia, primary, 38, 618063 (3), Autosomal recessive
CILD38		Cilia- and flagella-associated protein 300	Ciliary dyskinesia, primary, 38, 618063 (3), Autosomal recessive
YAP1		Yes-associated protein 1, 65kD	Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation, 120433 (3), Autosomal dominant
COB1		Yes-associated protein 1, 65kD	Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation, 120433 (3), Autosomal dominant
API2	fused with MALT1 in MALT lymphoma	Apoptosis inhibitor-2	
HAIP1	fused with MALT1 in MALT lymphoma	Apoptosis inhibitor-2	
API1		Apoptosis inhibitor-1	
HIAP2		Apoptosis inhibitor-1	
TMEM123		Transmembrane protein 123	
PORIMIN		Transmembrane protein 123	
MMP7		Matrix metalloproteinase 7 (matrilysin, uterine)	
MMP20		Matrix metalloproteinase-20 (enamelysin)	Amelogenesis imperfecta, type IIA2, 612529 (3), Autosomal recessive
AI2A2		Matrix metalloproteinase-20 (enamelysin)	Amelogenesis imperfecta, type IIA2, 612529 (3), Autosomal recessive
MMP27		Matrix metalloproteinase 27	
MMP8		Matrix metalloproteinase 8 (neutrophil collagenase)	
CLG1		Matrix metalloproteinase 8 (neutrophil collagenase)	
MMP10		Matrix metalloproteinase 10 (stromelysin 2)	
STMY2		Matrix metalloproteinase 10 (stromelysin 2)	
MMP1		Matrix metalloproteinase 1 (interstitial collagenase)	COPD, rate of decline of lung function in, 606963 (3); {Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}, 226600 (3), Autosomal recessive
CLG		Matrix metalloproteinase 1 (interstitial collagenase)	COPD, rate of decline of lung function in, 606963 (3); {Epidermolysis bullosa dystrophica, autosomal recessive, modifier of}, 226600 (3), Autosomal recessive
MMP3		Matrix metalloproteinase 3 (stromelysin 1, progelatinase)	{Coronary heart disease, susceptibility to, 6}, 614466 (3)
STMY1		Matrix metalloproteinase 3 (stromelysin 1, progelatinase)	{Coronary heart disease, susceptibility to, 6}, 614466 (3)
CHDS6		Matrix metalloproteinase 3 (stromelysin 1, progelatinase)	{Coronary heart disease, susceptibility to, 6}, 614466 (3)
MMP12		Matrix metalloproteinase 12 (macrophage elastase)	
MMP13		Matrix metalloproteinase 13 (collagenase 3)	Metaphyseal anadysplasia 1, 602111 (3), Autosomal dominant; Metaphyseal dysplasia, Spahr type, 250400 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia, Missouri type, 602111 (3), Autosomal dominant
CLG3		Matrix metalloproteinase 13 (collagenase 3)	Metaphyseal anadysplasia 1, 602111 (3), Autosomal dominant; Metaphyseal dysplasia, Spahr type, 250400 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia, Missouri type, 602111 (3), Autosomal dominant
MANDP1		Matrix metalloproteinase 13 (collagenase 3)	Metaphyseal anadysplasia 1, 602111 (3), Autosomal dominant; Metaphyseal dysplasia, Spahr type, 250400 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia, Missouri type, 602111 (3), Autosomal dominant
MDST		Matrix metalloproteinase 13 (collagenase 3)	Metaphyseal anadysplasia 1, 602111 (3), Autosomal dominant; Metaphyseal dysplasia, Spahr type, 250400 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia, Missouri type, 602111 (3), Autosomal dominant
DCUN1D5		DCN1 domain-containing protein 5	
SCCRO5		DCN1 domain-containing protein 5	
DYNC2H1	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
DNCH2	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
DHC2	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
ATD3	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
SRPS2B	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
SRTD3	1 patient showed heterozygous NEK2 and DYNC2H1 mutations	Dynein, cytoplasmic-2, heavy chain-1	Short-rib thoracic dysplasia 3 with or without polydactyly, 613091 (3), Autosomal recessive, Digenic recessive
PDGFD		Platelet-derived growth factor D	
SCDGFB		Platelet-derived growth factor D	
IEGF		Platelet-derived growth factor D	
CASP12		Caspase 12, apoptosis-related cysteine protease	{Sepsis, susceptibility to} (3)
CASP12P1		Caspase 12, apoptosis-related cysteine protease	{Sepsis, susceptibility to} (3)
CASP4		Caspase 4, apoptosis-related cysteine protease	
CASP5		Caspase 5, apoptosis-related cysteine protease	
CASP1		Caspase 1, apoptosis-related cysteine protease (interleukin-1, beta convertase)	
IL1BC		Caspase 1, apoptosis-related cysteine protease (interleukin-1, beta convertase)	
CARD16		Caspase recruitment domain-containing protein 16	
COP1		Caspase recruitment domain-containing protein 16	
INCA		Inhibitory caspase recruitment domain protein	
CARD18		Caspase recruitment domain-containing protein 18	
ICEBERG		Caspase recruitment domain-containing protein 18	
GRIA4		Glutamate receptor, ionotropic, AMPA 4	Neurodevelopmental disorder with or without seizures and gait abnormalities, 617864 (3), Autosomal dominant
GLUR4		Glutamate receptor, ionotropic, AMPA 4	Neurodevelopmental disorder with or without seizures and gait abnormalities, 617864 (3), Autosomal dominant
NEDSGA		Glutamate receptor, ionotropic, AMPA 4	Neurodevelopmental disorder with or without seizures and gait abnormalities, 617864 (3), Autosomal dominant
AASDHPPT		Alpha-aminoadipate semialdehyde dehydrogenase-phosphopantetheinyl transferase	
GUCY1A2		Guanylate cyclase 1, soluble, alpha 2	
GUC1A2		Guanylate cyclase 1, soluble, alpha 2	
ALKBH8		AlkB, E. coli, homolog of, 8	Intellectual developmental disorder, autosomal recessive 71, 618504 (3), Autosomal recessive
ABH8		AlkB, E. coli, homolog of, 8	Intellectual developmental disorder, autosomal recessive 71, 618504 (3), Autosomal recessive
MRT71		AlkB, E. coli, homolog of, 8	Intellectual developmental disorder, autosomal recessive 71, 618504 (3), Autosomal recessive
ELMOD1		ELMO/CED12 domain-containing protein 1	
SLN		Sarcolipin	
CUL5		Cullin-5 (vasopressin-activated calcium-mobilizing receptor-1)	
VACM1		Cullin-5 (vasopressin-activated calcium-mobilizing receptor-1)	
ACAT1	cluster: cen-STMY2-CLG-STMY1-ter	Acetyl-Coenzyme A acetyltransferase-1 (acetoacetyl Coenzyme A thiolase)	Alpha-methylacetoacetic aciduria, 203750 (3), Autosomal recessive
NPAT		Nuclear protein, ataxia-telangiectasia locus	
E14		Nuclear protein, ataxia-telangiectasia locus	
ATM		Ataxia-telangiectasia mutated (includes complementation groups A, C, D, and E)	Ataxia-telangiectasia, 208900 (3), Autosomal recessive; {Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant, Somatic mutation; Lymphoma, B-cell non-Hodgkin, somatic (3); Lymphoma, mantle cell, somatic (3); T-cell prolymphocytic leukemia, somatic (3)
ATA		Ataxia-telangiectasia mutated (includes complementation groups A, C, D, and E)	Ataxia-telangiectasia, 208900 (3), Autosomal recessive; {Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant, Somatic mutation; Lymphoma, B-cell non-Hodgkin, somatic (3); Lymphoma, mantle cell, somatic (3); T-cell prolymphocytic leukemia, somatic (3)
AT1		Ataxia-telangiectasia mutated (includes complementation groups A, C, D, and E)	Ataxia-telangiectasia, 208900 (3), Autosomal recessive; {Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant, Somatic mutation; Lymphoma, B-cell non-Hodgkin, somatic (3); Lymphoma, mantle cell, somatic (3); T-cell prolymphocytic leukemia, somatic (3)
POGLUT3		Protein O-glucosyltransferase 3	
KDELC2		Protein O-glucosyltransferase 3	
EXPH5		Exophilin 5	Epidermolysis bullosa, nonspecific, autosomal recessive, 615028 (3), Autosomal recessive
SLAC2B		Exophilin 5	Epidermolysis bullosa, nonspecific, autosomal recessive, 615028 (3), Autosomal recessive
KIAA0624		Exophilin 5	Epidermolysis bullosa, nonspecific, autosomal recessive, 615028 (3), Autosomal recessive
DDX10	400kb telomeric to ATM; pseudogene on 9q21-q22; fused with NUP98 in AML	DEAD/H box-10 (RNA helicase)	
ZC3H12C		Zinc finger CCCH domain-containing protein 12C	
MCPIP3		Zinc finger CCCH domain-containing protein 12C	
RDX		Radixin	Deafness, autosomal recessive 24, 611022 (3), Autosomal recessive
DFNB24		Radixin	Deafness, autosomal recessive 24, 611022 (3), Autosomal recessive
FDX1	pseudogene on 20q11-q12	Ferredoxin-1 (adrenodoxin)	
ADX	pseudogene on 20q11-q12	Ferredoxin-1 (adrenodoxin)	
ADIPQTL4	between D11S925 and D11S968	Adiponectin, serum level of, quantitative trait locus locus 4	{Adiponectin, serum level of, QTL4}, 612629 (2)
BMND5	between D11S901 and D11S925	Bone mineral density QTL 5	[Bone mineral density QTL 5], 609354 (2)
CRCS7	associated with rs3802842	Colorectal cancer, susceptibility to, 7	{Colorectal cancer, susceptibility to, 7}, 612232 (2)
EBVM1		Epstein-Barr virus modification site-1	
GTS	several loci suspected (e.g., 17q25)	Gilles de la Tourette syndrome	Tourette syndrome, 137580 (2), Autosomal dominant
JBS	contiguous gene deletion syndrome	Jacobsen syndrome	Jacobsen syndrome, 147791 (4), Isolated cases
NAFLD2	associated with rs2854116, rs2854117	Fatty liver disease, nonalcoholic, susceptibility to, 2	{Fatty liver disease, nonalcoholic, susceptibility to, 2}, 613387 (2), Multifactorial
TCPT	contiguous gene deletion of 11q23	Thrombocytopenia, Paris-Trousseau type (deletion 11q23 syndrome)	?Thrombocytopenia, Paris-Trousseau type, 188025 (4), Isolated cases
TSG11		Tumor suppressor gene on chromosome 11	{Nonsmall cell lung cancer}, 603040 (2)
ZNF125		Zinc finger protein-125 (HZF-3)	
COLCA1		Colorectal cancer-associated gene 1	
COLCA2	opposite strand from COLCA1	Colorectal cancer-associated gene 2	
POU2AF1		POU domain, class 2, associating factor 1	
OBF1		POU domain, class 2, associating factor 1	
BTG4		B-cell translocation gene 4	
PC3B		B-cell translocation gene 4	
MIR34B		Micro RNA 34B	
MIR34C		Micro RNA 34C	
SIK2		Salt-inducible kinase 2	
KIAA0781		Salt-inducible kinase 2	
PPP2R1B		Protein phosphatase 2, structural/regulatory subunit A, beta	Lung cancer, somatic, 211980 (3)
ALG9		Alg9, yeast, homolog of	Congenital disorder of glycosylation, type Il, 608776 (3), Autosomal recessive; Gillessen-Kaesbach-Nishimura syndrome, 263210 (3), Autosomal recessive
DIBD1		Alg9, yeast, homolog of	Congenital disorder of glycosylation, type Il, 608776 (3), Autosomal recessive; Gillessen-Kaesbach-Nishimura syndrome, 263210 (3), Autosomal recessive
CDG1L		Alg9, yeast, homolog of	Congenital disorder of glycosylation, type Il, 608776 (3), Autosomal recessive; Gillessen-Kaesbach-Nishimura syndrome, 263210 (3), Autosomal recessive
GIKANIS		Alg9, yeast, homolog of	Congenital disorder of glycosylation, type Il, 608776 (3), Autosomal recessive; Gillessen-Kaesbach-Nishimura syndrome, 263210 (3), Autosomal recessive
CRYAB		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
CRYA2		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
CTPP2		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
CMD1II		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
CTRCT16		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
MFM2		Crystallin, alpha B	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
HSPB2		Heat-shock 27kD protein-2	
DIXDC1		DIX domain-containing protein 1	
CCD1		DIX domain-containing protein 1	
KIAA1735		DIX domain-containing protein 1	
DLAT		Dihydrolipoamide S-acetyltransferase	Pyruvate dehydrogenase E2 deficiency, 245348 (3), Autosomal recessive
PDCE2		Dihydrolipoamide S-acetyltransferase	Pyruvate dehydrogenase E2 deficiency, 245348 (3), Autosomal recessive
TIMM8B		Translocase of inner mitochondrial membrane 8, yeast, homolog of, B	
DDP2		Translocase of inner mitochondrial membrane 8, yeast, homolog of, B	
SDHD		Succinate dehydrogenase complex, subunit D, integral membrane protein	Mitochondrial complex II deficiency, 252011 (3), Autosomal recessive; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 1, with or without deafness, 168000 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
PGL1		Succinate dehydrogenase complex, subunit D, integral membrane protein	Mitochondrial complex II deficiency, 252011 (3), Autosomal recessive; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 1, with or without deafness, 168000 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
IL18		Interleukin-18	
IGIF		Interleukin-18	
TEX12		Testis-expressed gene 12	
BCO2		Beta-carotene oxygenase 2	
BCDO2		Beta-carotene oxygenase 2	
PTS		6-pyruvoyltetrahydropterin synthase	Hyperphenylalaninemia, BH4-deficient, A, 261640 (3), Autosomal recessive
C11orf34		Chromosome 11 open reading frame 34	
PLET1		Chromosome 11 open reading frame 34	
NCAM1	"defective in ""staggerer"" in mice"	Neural cell adhesion molecule 1	
MSK39	"defective in ""staggerer"" in mice"	Neural cell adhesion molecule 1	
TTC12		Tetratricopeptide repeat domain 12	
TPARM		Tetratricopeptide repeat domain 12	
ANKK1		Ankyrin repeat and kinase domain containing 1	
DRD2	11q22-q23 junction; 150kb 5' to NCAM; centromeric to APOA1; telomeric to STMY1	Dopamine receptor D2	
TMPRSS5		Transmembrane protease, serine 5	
ZW10		Zeste-white 10, Drosophila, homolog of	
USP28		Ubiquitin-specific protease 28	
KIAA1515		Ubiquitin-specific protease 28	
HTR3B		5-hydroxytryptamine receptor 3B	
HTR3		5-hydroxytryptamine (serotonin) receptor-3	
